,Name,redshift,radius,inc,logM,logM_var,logSFR,logSFR_var,logZ0,dlogZ,logZ0_var,dlogZ_var,logZ0_dlogZ_var,grad_type,js_dist
10,b'HDFS_0028',0.317875,0.20526480391720447,32.0,7.947,0.011024999999999997,-1.1399383368207487,0.0006086893523268022,0.15977445460910522,-0.12726930770438663,0.01585838754496868,0.006311033844544447,-0.008265686625785881,b'negative',0.8302545049817163
11,b'HDFS_0032',0.564434,0.281884359885687,68.0,8.727,0.0,-0.2703430503719591,0.29969194833749196,-0.1823609106761876,0.06633634200334758,0.035416917086120304,0.001906991664488,-0.0017715133646571076,b'flat',0.023229300474603736
12,b'CGR28_767296',0.2202,0.5307248691164241,0.5789340262374054,7.002,0.0,-0.927084666168159,0.0002762836741548565,-0.03335358917276151,0.022405513259083847,0.003960849702264048,0.0020937507139165423,-0.002483257604403586,b'flat',0.027230364937957347
13,b'CGR28_768273',0.3807288110256195,0.5166431106983383,9.459724950884087,8.132,0.06002500000000005,-0.353254533389662,0.00016652890893548007,0.15493407924267474,-0.008330313709527989,0.0002948311399481986,0.00010647800534935305,-0.00010509122121536123,b'flat',0.0052796017586804475
14,b'CGR28_768276',0.38217732310295105,0.09515659025749434,1.0299898554400286,7.127,0.06002500000000005,-1.1721479026780501,0.000710531681177953,-0.20622745700852005,0.009680634525615366,0.04470642125444724,0.006621489815919538,-0.012919104479759407,b'flat',0.33610591141386004
15,b'CGR28_768286',0.7223420143127441,0.2619437020997238,26.251902104996198,7.467,0.0930250000000001,0.43313415104629804,0.15782694712862463,-0.2564441307903066,0.09518288746934774,0.1415105676475859,0.01196793941783349,-0.023450120553105486,b'flat',0.10208193927813893
16,b'CGR28_768903',0.3721611201763153,0.3236959938300376,2.694285714285712,7.257,0.04622499999999994,-1.1420041562940284,0.0007042369078826561,-0.09679180930182216,0.009184326720206915,0.04746900457090985,0.007255149718586333,-0.01601713309652541,b'flat',0.044193685372897994
17,b'UDFMosaic_00001',0.62206,0.9876531563973495,20.811961015211317,10.6,0.0036000000000000597,1.1889623697239047,0.07076143641135745,0.5655911527527321,-0.17389379602426616,0.0008196256176296529,0.00039860760391340094,-0.00039256725380593343,b'negative',0.012630051845550187
18,b'UDFMosaic_00002',0.41933000087738037,0.3936811006966411,24.955379921575776,9.892,0.00490000000000004,-0.06771043992015725,0.0013368002842465273,0.4067972361095448,0.0042152036934053,0.0006059562248567306,3.091178198283224e-05,-3.273297718664851e-05,b'flat',0.04709098821613657
19,b'UDFMosaic_00003',0.6217899918556213,0.5464884331308629,59.73468464366865,10.13,0.005625000000000027,0.814508584381015,0.12116036529458782,0.6608288129650219,-0.3020783090909973,0.0008785235207093567,0.002098176261709941,-0.0007096956774212471,b'negative',0.025007958934520954
20,b'UDFMosaic_00004',0.76509,0.4973866021727893,46.01592795868795,10.06,0.004225000000000051,1.261160490571561,0.08819439331817035,0.49940173898419954,-0.13492234109372994,0.0003842944435762118,0.00010150505438112899,-8.869929033398836e-05,b'negative',0.002770652940404183
21,b'UDFMosaic_00007',0.6197400093078613,0.42402812738139295,42.98809535085282,9.387,0.008099999999999975,0.70325507661982,0.05711904451514783,0.5638147809703886,-0.5346951287855822,0.0039246309633017935,0.003985206048397881,-0.0037675880091920006,b'negative',0.020968821273354074
22,b'UDFMosaic_00010',0.27529,0.29776165417951095,55.01284247577897,8.342,0.004899999999999916,-0.8139451109425677,0.0001585390743988226,-0.22497578758405823,0.042920708746128716,0.002571890368061821,0.0004890180801065242,-0.0006257409685479788,b'flat',0.01464952849161401
23,b'UDFMosaic_00014',0.76517,0.3229706421200048,43.057158789945376,9.397,0.003599999999999953,0.7869669191878143,0.11436906965461521,-0.5899679535032841,0.04655942942983453,0.023070040415240457,0.0004174235152851641,-0.0014996570853754753,b'positive',0.01491291065501667
24,b'UDFMosaic_00017',0.84408,0.13354784948477094,68.53971118015559,9.302,0.006006249999999951,0.4220201248582668,0.23028135172134914,-0.47918590960697455,0.11668478761936717,0.01983862034233443,0.005204842757505955,-0.008758881831595927,b'flat',0.04427511753502582
25,b'UDFMosaic_00023',0.27585,0.12986424185507517,37.25613507150738,7.997,0.004224999999999935,-1.2392602255051284,0.0003486650882355606,0.009974757798802348,-0.07436322891208463,0.06592261048583516,0.003768589183689519,-0.007461445786486428,b'flat',0.33532230423628967
26,b'UDFMosaic_00855',0.21386,0.683202649640369,60.9604690525306,10.28,0.007224999999999994,0.15863307108445576,5.768201780513428e-05,0.5158507317062176,-0.08640067172197606,1.3003304953236514e-05,4.541467021521751e-06,-5.979661403299938e-06,b'negative',0.0003422964387216943
27,b'UDFMosaic_00861',0.15151,1.2708533313492931,55.58261038912047,8.882,0.0014062499999999733,-0.7499892227324131,7.579789720461691e-05,-0.21857799878278622,-0.035425943358126516,7.917169297828334e-05,5.086571097565808e-05,-5.029517517272087e-05,b'negative',0.011930499425301484
